fname,dialogue,summary,topic
train_396-rp,"#Person1#: 안녕하세요, 잭 계세요?
#Person2#: 접니다.
#Person1#: 잭! 오랜만이야, 로즈야.
#Person2#: 안녕 로즈, 잘 지냈어?
#Person1#: 응, 고마워. 이번 토요일에 친구들 모아서 저녁 먹을 건데 같이 가자.
#Person2#: 좋아. 몇 시에 가면 돼?
#Person1#: 여섯 시 어때?",로즈는 잭에게 전화를 걸어 이번 토요일에 열리는 저녁 식사에 초대했다.,저녁 초대
train_247-rp,"#Person1#: 면접 때 어떤 옷을 입으면 좋을지 고민이네요.
#Person2#: 정장에 넥타이를 매는 것이 면접에 적합할 것 같아요.
#Person1#: 면접 중에 긴장할까봐 걱정이에요.
#Person2#: 긴장하지 말고, 자신감을 가지고 자신을 잘 표현하세요.","#Person2#는 #Person1#에게 면접 복장으로 정장과 넥타이를 추천하고, 긴장을 풀고 자신을 잘 표현하라고 제안했습니다.",면접 준비
train_9260-rp,"#Person1#: 존, 동기부여에 대해 궁금한 점이 있어요. 왜 지역 사람들과 함께 사업을 시작했는지 이유가 무엇인가요?
#Person2#: 지역 산업을 지원하기 위해 지역 주민들을 고용하려 했지만, 이 지역의 실업률이 다른 스페인 지방들만큼 낮지 않아 외부 인력을 고용해야 했어요.
#Person1#: 당신의 경영 스타일은 어떤가요? 존, 당신은 엄격한 관리자이신가요?
#Person2#: 그렇게 생각하지 않아요. 강한 성격의 소유자이지만, 사람들을 해고할 때는 여러 번 기회를 주곤 해요.
#Person1#: 앞으로의 계획은 무엇인가요? 무엇이 당신을 계속해서 움직이게 하나요?
#Person2#: 새 부사장이 합류하여 고객과 신제품에 집중할 계획이고, 개인적으로는 삶의 질을 향상시키기 위해 매주 수요일 오후를 휴식으로 보낼 생각이에요.","John은 지역 주민과 함께 사업을 시작한 이유, 자신의 경영 스타일, 그리고 미래의 사업 및 개인 생활 계획에 대해 설명합니다.",사업 전략 인터뷰
train_1430-rp,"#Person1#: 베를린으로 가는 비행기 출발 시간이 언제인가요?
#Person2#: 40분 후인 11시에 출발합니다. 베를린행 비행기는 매 두 시간 간격으로 있어요.
#Person1#: 그럼 2등석 티켓 가격은 얼마죠?
#Person2#: 죄송합니다만, 현재 1등석 티켓만 남아 있어요. 편도 요금은 350달러입니다.
#Person1#: 그럼 다음에 출발하는 비행기 티켓을 한 장 사겠어요.
#Person2#: 죄송한데, 제가 티켓을 판매하지 않아요. 저기 보이는 기계에서 구매하실 수 있어요.
#Person1#: 알겠습니다. 그런데 제 탑승구가 몇 번인가요?
#Person2#: 4번 게이트입니다. 복도를 따라 왼쪽으로 가시면 보일 거예요.
#Person1#: 친절히 알려주셔서 감사합니다.","#Person1#이 베를린행 비행기의 출발 시간을 묻자 #Person2#는 40분 후 출발하며, 1등석 티켓만 남아 있다고 알려줍니다. 티켓은 기계를 통해 구매하고, 게이트 번호도 안내받습니다.",베를린행 비행기 티켓 구매
train_10328-rp,"#Person1#: 주, 이 코트 어때?
#Person2#: 조지, 이 색깔은 너무 화려하지 않을까 싶어.
#Person1#: 그럼 이건 어때?
#Person2#: 이 색은 너무 밝지 않아? 금방 더러워질까 봐 걱정이야.
#Person1#: 주, 너 정말 까다롭네.
#Person2#: 이 코트 어때, 사면?
#Person1#: 괜찮네. 한번 입어봐. 꽤 잘 어울리는데, 어깨 쪽이 좀 끼지 않아?
#Person2#: 맞아. 더 큰 사이즈가 있는지 찾아보자. 음, 더 큰 건 없나 봐.
#Person1#: 저기 저 판매원한테 가서 물어보는 게 어때? 우리를 도와줄 수 있을 거야.",주와 조지는 코트를 고르다가 더 큰 사이즈가 있는지 판매원에게 물어보기로 했다.,코트 쇼핑
train_1740-rp,"#Person1#: 그녀가 그 소식을 전했을 때 너 뭐라고 반응했어?
#Person2#: 나는 순간 말을 잃었어. 그러고 나서, 그녀에게 그 중요한 결정을 한 번 더 생각해 보라고 했어. 바로 거절할 수가 없더라고.
#Person1#: 난 그 결정이 틀렸다고 분명히 말했어.
#Person2#: 왜 그렇게 단호하게 말해야 해? 그녀는 위로와 도움이 필요해.",소녀가 도움이 필요한 상황에서 #Person2#는 #Person1#의 직설적인 거부 방식에 동의하지 않는다.,중요한 결정에 대한 논의
train_6290-rp,"#Person1#: 안녕! 잘 지내고 있어?
#Person2#: 잘 지내, 고마워. 오늘 아침 어땠어?
#Person1#: 괜찮았어. 너는 어때? 오랜만이야.
#Person2#: 맞아. 뉴욕에 다녀왔어. 어젯밤에 돌아왔어.
#Person1#: 재미있었겠다!
#Person2#: 정말 재밌었어. 뉴욕은 정말 멋진 곳이야. 사진 보여줄까?
#Person1#: 좋아. 고마워, 사진 좋아해. 아, 약속이 있어서 가야 할 것 같아. 좋은 하루 보내.
#Person2#: 너도. 빨리 또 보자. 잘 가.
#Person1#: 안녕히 계세요.",#Person2#가 #Person1#에게 뉴욕 여행의 즐거운 경험을 공유하며 사진을 보여주겠다는 이야기를 합니다.,친구와의 대화
train_12313-rp,"#Person1#: 리레이, 영어 수업은 어떻게 되고 있어?
#Person2#: 재밌긴 하지만, 생각보다 어렵네요.
#Person1#: 어떤 부분이 특히 어려운 거야?
#Person2#: 여러 가지가 있는데, 특히 새로운 단어를 익히는 게 힘들어요. 영어로 많이 말하려고 하는데, 발음 실수도 종종 해요.
#Person1#: 영어 책은 많이 읽니?
#Person2#: 별로 안 읽어요. 단어를 찾아보는 게 귀찮아서 듣기 위주로 공부해요.
#Person1#: 듣기도 좋지만, 더 많이 읽어보는 게 좋을 것 같아. 그러면 새로운 단어를 익히기가 더 쉬울 거야.","#Person1#이 리레이에게 영어 공부에 대해 물어보았습니다. 리레이는 영어 공부가 쉽지 않다고 하며, 특히 새로운 단어 습득이 어렵다고 언급했습니다. 이에 #Person1#은 단어 학습을 위해 독서를 더 많이 해보라고 제안했습니다.",영어 학습
train_1935-rp,"#Person1#: 오늘이 무슨 날인지 알아?
#Person2#: 왜 갑자기 날짜를 물어봐?
#Person1#: 길거리에 사람들이 꽃다발을 들고 있길래. 혹시 오늘 발렌타인데이야?
#Person2#: 아차, 완전히 잊고 있었네.
#Person1#: 잭이랑 싸웠어?
#Person2#: 아니, 그런데 이제 잭이 난감하겠지. 남자친구가 있다는 건 발렌타인데이를 챙겨야 한다는 거잖아?
#Person1#: 그러게, 너도 깜빡했잖아.
#Person2#: 여자들이 이런 '특별한 날'을 잊어도 괜찮지만, 남자가 잊으면 안 돼.
#Person1#: 핸드폰 소리 아니야?
#Person2#: 아, 잭이네. 잠깐만.
#Person1#: 우와, 타이밍이 딱이네.
#Person2#: 오늘 저녁 같이 먹자고 하네. 같이 갈래?
#Person1#: 싫어! 삼각관계는 불편해!
#Person2#: 그래서 뭐가 문제야?
#Person1#: 그냥 가! 오늘이 발렌타인데이잖아!","#Person2#가 잭이 발렌타인데이를 잊어서 난처해질 거라고 #Person1#에게 말하는데, 그때 잭이 전화를 걸어와 저녁 식사에 초대한다.",발렌타인데이
train_927-rp,"#Person1#: 생일인 오늘 저녁, 제가 준비 도와드릴게요.
#Person2#: 진짜? 믿기지 않네.
#Person1#: 진짜라니까요. 특별한 날이니께요.
#Person2#: 좋아. 그럼 앞치마부터 입어봐.
#Person1#: 앞치마 입었어. 이제 뭘 하면 돼?
#Person2#: 물을 끓여줄래?
#Person1#: 물 끓이는 건 식은 죽 먹기죠. 다 됐어요.
#Person2#: 잘했어. 이제 냉장고에서 고기와 감자, 파프리카 꺼내줘.
#Person1#: 감자는 몇 개 필요해요?
#Person2#: 감자 세 개랑 파프리카 네 개야.
#Person1#: 알았어요. 여기 있어요.
#Person2#: 잘 씻고, 감자와 파프리카를 깍둑썰기 해줘.
#Person1#: 감자 깎는 칼 어디 있어요?","#Person1#이 #Person2#의 생일을 기념하여 저녁 준비를 돕겠다고 하고, #Person2#는 그에게 물 끓이기, 재료 꺼내오기, 채소 손질하기 등을 부탁한다.",생일 저녁 준비
